DATA LOGGER INTERVAL @ 100ms
TIME(s),RGH Level,RGH Valve,SCV Level,SCV Valve
2.50,4.809,10.000,3.808,10.000
2.60,4.809,10.000,3.798,10.000
2.70,4.809,10.000,3.788,10.000
2.80,4.819,10.000,3.778,10.000
2.90,4.819,10.000,3.769,10.000
3.00,4.819,10.000,3.769,10.000
3.10,4.829,10.000,3.769,10.000
3.20,4.829,10.000,3.769,10.000
3.30,4.829,10.000,3.759,10.000
3.40,4.848,10.000,3.759,10.000
3.50,4.838,10.000,3.749,10.000
3.60,4.848,10.000,3.739,10.000
3.70,4.838,10.000,3.739,10.000
3.80,4.858,10.000,3.739,10.000
3.90,4.858,10.000,3.729,10.000
4.00,4.858,10.000,3.729,10.000
4.10,4.887,10.000,3.729,10.000
4.20,4.858,10.000,3.720,10.000
4.30,4.868,10.000,3.720,10.000
4.40,4.887,10.000,3.720,10.000
4.50,4.878,10.000,3.710,10.000
4.60,4.887,10.000,3.700,10.000
4.70,4.887,10.000,3.700,10.000
4.80,4.887,10.000,3.690,10.000
4.90,4.887,10.000,3.680,10.000
5.00,4.897,10.000,3.690,10.000
5.10,4.897,10.000,3.690,10.000
5.20,4.897,10.000,3.680,10.000
5.30,4.907,10.000,3.680,10.000
5.40,4.917,10.000,3.670,10.000
5.50,4.917,10.000,3.670,10.000
5.60,4.917,10.000,3.651,10.000
5.70,4.927,10.000,3.661,10.000
5.80,4.927,10.000,3.651,10.000
5.90,4.927,10.000,3.651,10.000
6.00,4.936,10.000,3.651,10.000
6.10,4.936,10.000,3.641,10.000
6.20,4.946,10.000,3.641,10.000
6.30,4.946,10.000,3.631,10.000
6.40,4.956,10.000,3.631,10.000
6.50,4.956,10.000,3.621,10.000
6.60,4.956,10.000,3.612,10.000
6.70,4.966,10.000,3.612,10.000
6.80,4.966,10.000,3.612,10.000
6.90,4.966,10.000,3.612,10.000
7.00,4.976,10.000,3.602,10.000
7.10,4.976,10.000,3.602,10.000
7.20,4.976,10.000,3.592,10.000
7.30,4.966,10.000,3.592,10.000
7.40,4.986,10.000,3.592,10.000
7.50,4.995,10.000,3.582,10.000
7.60,4.995,10.000,3.572,10.000
7.70,4.986,10.000,3.572,10.000
7.80,4.995,10.000,3.572,10.000
7.90,5.005,10.000,3.563,10.000
8.00,4.995,10.000,3.563,10.000
8.10,5.005,10.000,3.553,10.000
8.20,5.015,10.000,3.553,10.000
8.30,5.015,10.000,3.553,10.000
8.40,5.005,10.000,3.543,10.000
8.50,5.025,10.000,3.533,10.000
8.60,5.025,10.000,3.533,10.000
8.70,5.025,10.000,3.533,10.000
8.80,5.035,10.000,3.523,10.000
8.90,5.054,10.000,3.523,10.000
9.00,5.044,10.000,3.523,10.000
9.10,5.044,10.000,3.504,10.000
9.20,5.054,10.000,3.504,10.000
9.30,5.054,10.000,3.494,10.000
9.40,5.054,10.000,3.494,10.000
9.50,5.054,10.000,3.494,10.000
9.60,5.054,10.000,3.494,10.000
9.70,5.074,10.000,3.484,10.000
9.80,5.074,10.000,3.484,10.000
9.90,5.074,10.000,3.484,10.000
10.00,5.074,10.000,3.474,10.000
10.10,5.084,10.000,3.474,10.000
10.20,5.084,10.000,3.464,10.000
10.30,5.084,10.000,3.464,10.000
10.40,5.094,10.000,3.455,10.000
10.50,5.103,10.000,3.445,10.000
10.60,5.094,10.000,3.445,10.000
10.70,5.113,10.000,3.445,10.000
10.80,5.113,10.000,3.435,10.000
10.90,5.103,10.000,3.435,10.000
11.00,5.123,10.000,3.425,10.000
11.10,5.123,10.000,3.425,10.000
11.20,5.123,10.000,3.415,10.000
11.30,5.113,10.000,3.415,10.000
11.40,5.133,10.000,3.415,10.000
11.50,5.133,10.000,3.415,10.000
11.60,5.201,10.000,3.405,10.000
11.70,5.133,10.000,3.405,10.000
11.80,5.152,10.000,3.396,10.000
11.90,5.152,10.000,3.386,10.000
12.00,5.152,10.000,3.386,10.000
12.10,5.143,10.000,3.376,10.000
12.20,5.152,10.000,3.376,10.000
12.30,5.162,10.000,3.366,10.000
12.40,5.172,10.000,3.366,10.000
12.50,5.182,10.000,3.366,10.000
12.60,5.182,10.000,3.366,10.000
12.70,5.182,10.000,3.356,10.000
12.80,5.182,10.000,3.356,10.000
12.90,5.182,10.000,3.347,10.000
13.00,5.192,10.000,3.347,10.000
13.10,5.192,10.000,3.337,10.000
13.20,5.201,10.000,3.337,10.000
13.30,5.201,10.000,3.327,10.000
13.40,5.211,10.000,3.327,10.000
13.50,5.211,10.000,3.317,10.000
13.60,5.221,10.000,3.307,10.000
13.70,5.221,10.000,3.307,10.000
13.80,5.221,10.000,3.307,10.000
13.90,5.221,10.000,3.298,10.000
14.00,5.241,10.000,3.298,10.000
14.10,5.241,10.000,3.288,10.000
14.20,5.241,10.000,3.288,10.000
14.30,5.251,10.000,3.288,10.000
14.40,5.251,10.000,3.278,10.000
14.50,5.260,10.000,3.278,10.000
14.60,5.251,10.000,3.268,10.000
14.70,5.260,10.000,3.268,10.000
14.80,5.270,10.000,3.268,10.000
14.90,5.270,10.000,3.258,10.000
15.00,5.270,10.000,3.248,10.000
15.10,5.280,10.000,3.239,10.000
15.20,5.280,10.000,3.248,10.000
15.30,5.290,10.000,3.239,10.000
15.40,5.290,10.000,3.239,10.000
15.50,5.290,10.000,3.239,10.000
15.60,5.300,10.000,3.229,10.000
15.70,5.309,10.000,3.219,10.000
15.80,5.309,10.000,3.219,10.000
15.90,5.309,10.000,3.209,10.000
16.00,5.319,10.000,3.209,10.000
16.10,5.319,10.000,3.199,10.000
