DATA LOGGER INTERVAL @ 100ms
TIME(s),RGH Level,RGH Valve,SCV Level,SCV Valve
4.90,7.635,8.000,0.785,10.000
5.00,7.635,8.000,0.775,10.000
5.10,7.635,8.000,0.785,10.000
5.20,7.645,8.000,0.775,10.000
5.30,7.635,8.000,0.785,10.000
5.40,7.635,8.000,0.785,10.000
5.50,7.635,8.000,0.775,10.000
5.60,7.635,8.000,0.785,10.000
5.70,7.635,8.000,0.785,10.000
5.80,7.635,8.000,0.785,10.000
5.90,7.635,8.000,0.775,10.000
6.00,7.645,8.000,0.775,10.000
6.10,7.635,8.000,0.785,10.000
6.20,7.635,8.000,0.785,10.000
6.30,7.635,8.000,0.785,10.000
6.40,7.635,8.000,0.775,10.000
6.50,7.635,8.000,0.775,10.000
6.60,7.635,8.000,0.785,10.000
6.70,7.635,8.000,0.785,10.000
6.80,7.635,8.000,0.775,10.000
6.90,7.635,8.000,0.775,10.000
7.00,7.635,8.000,0.785,10.000
7.10,7.635,8.000,0.785,10.000
7.20,7.635,8.000,0.785,10.000
7.30,7.635,8.000,0.785,10.000
7.40,7.635,8.000,0.785,10.000
7.50,7.635,8.000,0.785,10.000
7.60,7.635,8.000,0.785,10.000
7.70,7.645,8.000,0.785,10.000
7.80,7.635,8.000,0.775,10.000
7.90,7.635,8.000,0.785,10.000
8.00,7.635,8.000,0.775,10.000
8.10,7.635,8.000,0.785,10.000
8.20,7.645,8.000,0.785,10.000
8.30,7.635,8.000,0.785,10.000
8.40,7.635,8.000,0.775,10.000
8.50,7.635,8.000,0.775,10.000
8.60,7.635,8.000,0.785,10.000
8.70,7.635,8.000,0.775,10.000
8.80,7.635,8.000,0.785,10.000
8.90,7.635,8.000,0.785,10.000
9.00,7.635,8.000,0.785,10.000
9.10,7.635,8.000,0.775,10.000
9.20,7.635,8.000,0.785,10.000
9.30,7.635,8.000,0.785,10.000
9.40,7.635,8.000,0.785,10.000
9.50,7.635,8.000,0.775,10.000
9.60,7.635,8.000,0.785,10.000
9.70,7.645,8.000,0.785,10.000
9.80,7.645,8.000,0.785,10.000
9.90,7.635,8.000,0.775,10.000
10.00,7.635,8.000,0.785,10.000
10.10,7.635,8.000,0.785,10.000
10.20,7.645,8.000,0.775,10.000
10.30,7.635,8.000,0.775,10.000
10.40,7.635,8.000,0.775,10.000
10.50,7.635,8.000,0.775,10.000
10.60,7.635,8.000,0.785,10.000
10.70,7.635,8.000,0.775,10.000
10.80,7.635,8.000,0.785,10.000
10.90,7.635,8.000,0.785,10.000
11.00,7.635,8.000,0.775,10.000
11.10,7.635,8.000,0.775,10.000
11.20,7.635,8.000,0.785,10.000
11.30,7.635,8.000,0.775,10.000
11.40,7.635,8.000,0.785,10.000
11.50,7.645,8.000,0.785,10.000
11.60,7.635,8.000,0.775,10.000
11.70,7.645,8.000,0.785,10.000
11.80,7.635,8.000,0.775,10.000
11.90,7.635,8.000,0.785,10.000
12.00,7.635,8.000,0.785,10.000
12.10,7.635,8.000,0.785,10.000
12.20,7.645,8.000,0.785,10.000
12.30,7.635,8.000,0.785,10.000
12.40,7.635,8.000,0.785,10.000
12.50,7.645,8.000,0.785,10.000
12.60,7.635,8.000,0.775,10.000
12.70,7.635,8.000,0.775,10.000
12.80,7.635,8.000,0.785,10.000
12.90,7.635,8.000,0.785,10.000
13.00,7.635,8.000,0.785,10.000
13.10,7.635,8.000,0.785,10.000
13.20,7.635,8.000,0.775,10.000
13.30,7.635,8.000,0.785,10.000
13.40,7.635,8.000,0.785,10.000
13.50,7.635,8.000,0.785,10.000
13.60,7.635,8.000,0.775,10.000
13.70,7.635,8.000,0.785,10.000
13.80,7.635,8.000,0.785,10.000
13.90,7.635,8.000,0.775,10.000
14.00,7.635,8.000,0.785,10.000
14.10,7.635,8.000,0.785,10.000
14.20,7.635,8.000,0.785,10.000
14.30,7.635,8.000,0.785,10.000
14.40,7.635,8.000,0.785,10.000
14.50,7.635,8.000,0.785,10.000
14.60,7.635,8.000,0.775,10.000
14.70,7.635,8.000,0.785,10.000
14.80,7.635,8.000,0.785,10.000
14.90,7.635,8.000,0.785,10.000
15.00,7.635,8.000,0.775,10.000
15.10,7.635,8.000,0.785,10.000
15.20,7.635,8.000,0.785,10.000
15.30,7.635,8.000,0.785,10.000
15.40,7.635,8.000,0.785,10.000
15.50,7.635,8.000,0.785,10.000
15.60,7.635,8.000,0.785,10.000
15.70,7.645,8.000,0.785,10.000
15.80,7.635,8.000,0.785,10.000
15.90,7.635,8.000,0.785,10.000
16.00,7.645,8.000,0.785,10.000
16.10,7.635,8.000,0.785,10.000
16.20,7.635,8.000,0.775,10.000
16.30,7.635,8.000,0.785,10.000
16.40,7.635,8.000,0.785,10.000
16.50,7.635,8.000,0.775,10.000
16.60,7.635,8.000,0.775,10.000
16.70,7.635,8.000,0.785,10.000
16.80,7.635,8.000,0.785,10.000
16.90,7.635,8.000,0.775,10.000
17.00,7.635,8.000,0.785,10.000
17.10,7.635,8.000,0.775,10.000
17.20,7.635,8.000,0.785,10.000
17.30,7.635,8.000,0.775,10.000
17.40,7.635,8.000,0.785,10.000
17.50,7.635,8.000,0.785,10.000
17.60,7.645,8.000,0.785,10.000
17.70,7.635,8.000,0.785,10.000
17.80,7.635,8.000,0.785,10.000
17.90,7.635,8.000,0.785,10.000
18.00,7.635,8.000,0.775,10.000
18.10,7.645,8.000,0.785,10.000
18.20,7.635,8.000,0.775,10.000
18.30,7.635,8.000,0.775,10.000
18.40,7.635,8.000,0.785,10.000
18.50,7.635,8.000,0.785,10.000
18.60,7.635,8.000,0.775,10.000
18.70,7.635,8.000,0.785,10.000
18.80,7.626,8.000,0.785,10.000
18.90,7.635,8.000,0.785,10.000
19.00,7.635,8.000,0.785,10.000
19.10,7.635,8.000,0.785,10.000
19.20,7.635,8.000,0.785,10.000
19.30,7.635,8.000,0.785,10.000
19.40,7.635,8.000,0.785,10.000
19.50,7.635,8.000,0.785,10.000
19.60,7.645,8.000,0.775,10.000
19.70,7.635,8.000,0.785,10.000
19.80,7.635,8.000,0.785,10.000
19.90,7.635,8.000,0.775,10.000
20.00,7.635,8.000,0.785,10.000
20.10,7.645,8.000,0.775,10.000
20.20,7.635,8.000,0.785,10.000
20.30,7.635,8.000,0.775,10.000
20.40,7.645,8.000,0.775,10.000
20.50,7.635,8.000,0.775,10.000
20.60,7.635,8.000,0.775,10.000
20.70,7.635,8.000,0.785,10.000
20.80,7.635,8.000,0.775,10.000
20.90,7.635,8.000,0.785,10.000
21.00,7.635,8.000,0.785,10.000
21.10,7.635,8.000,0.785,10.000
21.20,7.635,8.000,0.775,10.000
21.30,7.635,8.000,0.785,10.000
21.40,7.635,8.000,0.775,10.000
21.50,7.635,8.000,0.775,10.000
21.60,7.635,8.000,0.775,10.000
21.70,7.635,8.000,0.785,10.000
21.80,7.635,8.000,0.785,10.000
21.90,7.635,8.000,0.785,10.000
22.00,7.635,8.000,0.785,10.000
22.10,7.635,8.000,0.785,10.000
22.20,7.635,8.000,0.785,10.000
22.30,7.635,8.000,0.775,10.000
22.40,7.635,8.000,0.785,10.000
22.50,7.626,8.000,0.785,10.000
22.60,7.635,8.000,0.775,10.000
22.70,7.635,8.000,0.775,10.000
22.80,7.635,8.000,0.785,10.000
22.90,7.635,8.000,0.785,10.000
23.00,7.635,8.000,0.775,10.000
23.10,7.635,8.000,0.785,10.000
23.20,7.635,8.000,0.775,10.000
23.30,7.635,8.000,0.775,10.000
23.40,7.635,8.000,0.785,10.000
23.50,7.635,8.000,0.785,10.000
23.60,7.635,8.000,0.775,10.000
23.70,7.635,8.000,0.785,10.000
23.80,7.635,8.000,0.785,10.000
23.90,7.635,8.000,0.775,10.000
24.00,7.635,8.000,0.775,10.000
24.10,7.635,8.000,0.785,10.000
24.20,7.635,8.000,0.775,10.000
24.30,7.635,8.000,0.785,10.000
24.40,7.635,8.000,0.785,10.000
24.50,7.635,8.000,0.785,10.000
24.60,7.645,8.000,0.785,10.000
24.70,7.635,8.000,0.785,10.000
24.80,7.635,8.000,0.785,10.000
24.90,7.645,8.000,0.785,10.000
25.00,7.635,8.000,0.785,10.000
25.10,7.635,8.000,0.785,10.000
25.20,7.635,8.000,0.785,10.000
25.30,7.635,8.000,0.785,10.000
25.40,7.635,8.000,0.775,10.000
25.50,7.635,8.000,0.775,10.000
25.60,7.635,8.000,0.785,10.000
25.70,7.635,8.000,0.775,10.000
25.80,7.635,8.000,0.785,10.000
25.90,7.635,8.000,0.775,10.000
26.00,7.635,8.000,0.785,10.000
26.10,7.635,8.000,0.775,10.000
26.20,7.635,8.000,0.785,10.000
26.30,7.635,8.000,0.775,10.000
26.40,7.635,8.000,0.775,10.000
26.50,7.635,8.000,0.785,10.000
26.60,7.635,8.000,0.775,10.000
26.70,7.635,8.000,0.785,10.000
26.80,7.635,8.000,0.775,10.000
26.90,7.635,8.000,0.775,10.000
27.00,7.635,8.000,0.785,10.000
27.10,7.635,8.000,0.785,10.000
27.20,7.635,8.000,0.775,10.000
27.30,7.635,8.000,0.775,10.000
27.40,7.635,8.000,0.785,10.000
27.50,7.635,8.000,0.775,10.000
27.60,7.635,8.000,0.775,10.000
27.70,7.635,8.000,0.775,10.000
27.80,7.635,8.000,0.785,10.000
27.90,7.635,8.000,0.785,10.000
28.00,7.635,8.000,0.785,10.000
28.10,7.635,8.000,0.775,10.000
28.20,7.635,8.000,0.785,10.000
28.30,7.635,8.000,0.775,10.000
28.40,7.635,8.000,0.775,10.000
28.50,7.635,8.000,0.775,10.000
28.60,7.635,8.000,0.785,10.000
28.70,7.635,8.000,0.785,10.000
28.80,7.635,8.000,0.785,10.000
28.90,7.635,8.000,0.775,10.000
29.00,7.635,8.000,0.785,10.000
29.10,7.635,8.000,0.775,10.000
29.20,7.645,8.000,0.775,10.000
29.30,7.635,8.000,0.785,10.000
29.40,7.635,8.000,0.785,10.000
29.50,7.635,8.000,0.785,10.000
29.60,7.635,8.000,0.775,10.000
29.70,7.635,8.000,0.785,10.000
29.80,7.626,8.000,0.785,10.000
29.90,7.635,8.000,0.775,10.000
30.00,7.635,8.000,0.785,10.000
30.10,7.635,8.000,0.775,10.000
30.20,7.635,8.000,0.785,10.000
30.30,7.635,8.000,0.785,10.000
30.40,7.635,8.000,0.775,10.000
30.50,7.645,1.600,0.775,10.000
30.60,7.635,1.600,0.775,10.000
30.70,7.635,1.600,0.775,10.000
30.80,7.635,1.600,0.785,10.000
30.90,7.635,1.600,0.785,10.000
31.00,7.635,1.600,0.775,10.000
31.10,7.635,1.600,0.785,10.000
31.20,7.635,1.600,0.775,10.000
31.30,7.645,1.600,0.775,10.000
31.40,7.635,1.600,0.785,10.000
31.50,7.635,1.600,0.785,10.000
31.60,7.635,1.600,0.785,10.000
31.70,7.635,1.600,0.785,10.000
31.80,7.635,1.600,0.785,10.000
31.90,7.635,1.600,0.775,10.000
32.00,7.635,1.600,0.775,10.000
32.10,7.635,1.600,0.785,10.000
32.20,7.635,1.600,0.775,10.000
32.30,7.635,1.600,0.785,10.000
32.40,7.635,1.600,0.785,10.000
32.50,7.626,1.600,0.785,10.000
32.60,7.635,1.600,0.785,10.000
32.70,7.635,1.600,0.785,10.000
32.80,7.635,1.600,0.795,10.000
32.90,7.635,1.600,0.795,10.000
33.00,7.635,1.600,0.795,10.000
33.10,7.635,1.600,0.795,10.000
33.20,7.635,1.600,0.805,10.000
33.30,7.626,1.600,0.805,10.000
33.40,7.635,1.600,0.815,10.000
33.50,7.635,1.600,0.815,10.000
33.60,7.635,1.600,0.815,10.000
33.70,7.626,1.600,0.815,10.000
33.80,7.635,1.600,0.805,10.000
33.90,7.626,1.600,0.815,10.000
34.00,7.626,1.600,0.824,10.000
34.10,7.626,1.600,0.824,10.000
34.20,7.626,1.600,0.834,10.000
34.30,7.626,1.600,0.824,10.000
34.40,7.626,1.600,0.824,10.000
34.50,7.626,1.600,0.824,10.000
34.60,7.626,1.600,0.824,10.000
34.70,7.626,1.600,0.844,10.000
34.80,7.626,1.600,0.854,10.000
34.90,7.626,1.600,0.854,10.000
35.00,7.626,1.600,0.854,10.000
35.10,7.616,1.600,0.854,10.000
35.20,7.616,1.600,0.844,10.000
35.30,7.616,1.600,0.854,10.000
35.40,7.616,1.600,0.854,10.000
35.50,7.606,1.600,0.864,10.000
35.60,7.616,1.600,0.864,10.000
35.70,7.606,1.600,0.873,10.000
35.80,7.606,1.600,0.864,10.000
35.90,7.606,1.600,0.864,10.000
36.00,7.606,1.600,0.864,10.000
36.10,7.606,1.600,0.873,10.000
36.20,7.596,1.600,0.883,10.000
36.30,7.596,1.600,0.883,10.000
36.40,7.596,1.600,0.883,10.000
36.50,7.596,1.600,0.864,10.000
