DATA LOGGER INTERVAL @ 100ms
TIME(s),RGH Level,RGH Valve,SCV Level,SCV Valve
33.90,6.065,3.000,1.806,10.000
34.00,6.065,3.000,1.806,10.000
34.10,6.065,3.000,1.816,10.000
34.20,6.065,3.000,1.806,10.000
34.30,6.065,3.000,1.816,10.000
34.40,6.055,3.000,1.825,10.000
34.50,6.055,3.000,1.825,10.000
34.60,6.055,3.000,1.825,10.000
34.70,6.055,3.000,1.825,10.000
34.80,6.055,3.000,1.825,10.000
34.90,6.055,3.000,1.825,10.000
35.00,6.045,3.000,1.825,10.000
35.10,6.055,3.000,1.835,10.000
35.20,6.055,3.000,1.835,10.000
35.30,6.045,3.000,1.835,10.000
35.40,6.045,3.000,1.825,10.000
35.50,6.045,3.000,1.825,10.000
35.60,6.045,3.000,1.835,10.000
35.70,6.045,3.000,1.845,10.000
35.80,6.036,3.000,1.845,10.000
35.90,6.045,3.000,1.845,10.000
36.00,6.036,3.000,1.835,10.000
36.10,6.036,3.000,1.835,10.000
36.20,6.036,3.000,1.835,10.000
36.30,6.036,3.000,1.845,10.000
36.40,6.036,3.000,1.845,10.000
36.50,6.036,3.000,1.855,10.000
36.60,6.036,3.000,1.855,10.000
36.70,6.036,3.000,1.855,10.000
36.80,6.036,3.000,1.855,10.000
36.90,6.026,3.000,1.845,10.000
37.00,6.026,3.000,1.845,10.000
37.10,6.026,3.000,1.855,10.000
37.20,6.026,3.000,1.865,10.000
37.30,6.026,3.000,1.865,10.000
37.40,6.026,3.000,1.865,10.000
37.50,6.026,3.000,1.865,10.000
37.60,6.026,3.000,1.855,10.000
37.70,6.016,3.000,1.855,10.000
37.80,6.026,3.000,1.855,10.000
37.90,6.016,3.000,1.865,10.000
38.00,6.016,3.000,1.874,10.000
38.10,6.016,3.000,1.874,10.000
38.20,6.016,3.000,1.874,10.000
38.30,6.016,3.000,1.865,10.000
38.40,6.016,3.000,1.865,10.000
38.50,6.016,3.000,1.865,10.000
38.60,6.016,3.000,1.874,10.000
38.70,6.006,3.000,1.874,10.000
38.80,6.016,3.000,1.884,10.000
