DATA LOGGER INTERVAL @ 100ms,,,,
TIME(s),RGH Level,RGH Valve,SCV Level,SCV Valve
27.6,7.066,7,0.589,10
27.7,7.066,7,0.589,10
27.8,7.076,7,0.589,10
27.9,7.076,7,0.589,10
28,7.066,7,0.589,10
28.1,7.076,7,0.589,10
28.2,7.066,7,0.589,10
28.3,7.066,7,0.589,10
28.4,7.066,7,0.589,10
28.5,7.076,7,0.589,10
28.6,7.076,7,0.589,10
28.7,7.066,7,0.589,10
28.8,7.076,7,0.589,10
28.9,7.076,7,0.589,10
29,7.066,7,0.589,10
29.1,7.066,7,0.589,10
29.2,7.066,7,0.589,10
29.3,7.066,7,0.589,10
29.4,7.066,7,0.589,10
29.5,7.066,7,0.589,10
29.6,7.066,7,0.589,10
29.7,7.066,7,0.589,10
29.8,7.066,7,0.589,10
29.9,7.076,7,0.589,10
30,7.066,7,0.589,10
30.1,7.076,7,0.589,10
30.2,7.066,7,0.589,10
30.3,7.066,7,0.589,10
30.4,7.066,7,0.589,10
30.5,7.076,7,0.589,10
30.6,7.066,7,0.589,10
30.7,7.066,7,0.589,10
30.8,7.066,7,0.589,10
30.9,7.066,7,0.589,10
31,7.076,7,0.589,10
31.1,7.066,7,0.589,10
31.2,7.066,7,0.589,10
31.3,7.066,7,0.589,10
31.4,7.066,7,0.589,10
31.5,7.066,7,0.589,10
31.6,7.076,7,0.589,10
31.7,7.066,7,0.589,10
31.8,7.066,7,0.589,10
31.9,7.066,7,0.589,10
32,7.076,7,0.589,10
32.1,7.066,7,0.589,10
32.2,7.066,7,0.589,10
32.3,7.066,7,0.589,10
32.4,7.076,7,0.589,10
32.5,7.066,7,0.589,10
32.6,7.066,7,0.589,10
32.7,7.066,7,0.589,10
32.8,7.076,7,0.589,10
32.9,7.066,7,0.589,10
33,7.066,7,0.589,10
33.1,7.076,7,0.589,10
33.2,7.076,7,0.589,10
33.3,7.076,7,0.589,10
33.4,7.076,7,0.589,10
33.5,7.076,7,0.589,10
33.6,7.076,7,0.589,10
33.7,7.076,7,0.589,10
33.8,7.076,7,0.589,10
33.9,7.066,7,0.589,10
34,7.066,7,0.589,10
34.1,7.076,7,0.589,10
34.2,7.066,7,0.589,10
34.3,7.066,7,0.589,10
34.4,7.076,7,0.589,10
34.5,7.076,7,0.589,10
34.6,7.066,7,0.589,10
34.7,7.066,7,0.589,10
34.8,7.076,7,0.589,10
34.9,7.066,7,0.589,10
35,7.066,7,0.589,10
35.1,7.066,7,0.589,10
35.2,7.076,7,0.589,10
35.3,7.066,7,0.589,10
35.4,7.066,7,0.589,10
35.5,7.076,7,0.589,10
35.6,7.066,7,0.589,10
35.7,7.066,7,0.589,10
35.8,7.066,7,0.589,10
35.9,7.066,7,0.589,10
36,7.066,7,0.589,10
36.1,7.076,7,0.589,10
36.2,7.066,7,0.589,10
36.3,7.066,7,0.589,10
36.4,7.076,7,0.589,10
36.5,7.066,7,0.589,10
36.6,7.076,7,0.589,10
36.7,7.076,7,0.589,10
36.8,7.076,7,0.589,10
36.9,7.076,7,0.589,10
37,7.076,7,0.589,10
37.1,7.066,7,0.589,10
37.2,7.066,7,0.589,10
37.3,7.066,7,0.589,10
37.4,7.076,7,0.589,10
37.5,7.066,7,0.589,10
37.6,7.076,7,0.589,10
37.7,7.066,7,0.589,10
37.8,7.066,7,0.589,10
37.9,7.066,7,0.589,10
38,7.066,7,0.589,10
38.1,7.066,7,0.589,10
38.2,7.066,7,0.589,10
38.3,7.066,7,0.589,10
38.4,7.076,7,0.589,10
38.5,7.076,7,0.589,10
38.6,7.066,7,0.579,10
38.7,7.076,7,0.589,10
38.8,7.076,7,0.589,10
38.9,7.066,7,0.589,10
39,7.076,7,0.589,10
39.1,7.066,7,0.589,10
39.2,7.066,7,0.589,10
39.3,7.066,7,0.589,10
39.4,7.066,7,0.589,10
39.5,7.066,7,0.589,10
39.6,7.076,7,0.589,10
39.7,7.076,7,0.589,10
39.8,7.076,7,0.589,10
39.9,7.076,7,0.589,10
40,7.066,7,0.589,10
40.1,7.076,7,0.589,10
40.2,7.076,7,0.589,10
40.3,7.066,7,0.589,10
40.4,7.076,7,0.589,10
40.5,7.076,7,0.589,10
40.6,7.066,7,0.589,10
40.7,7.066,7,0.589,10
40.8,7.066,7,0.589,10
40.9,7.076,7,0.589,10
41,7.066,7,0.589,10
41.1,7.066,7,0.589,10
41.2,7.066,7,0.589,10
41.3,7.076,7,0.589,10
41.4,7.076,7,0.589,10
41.5,7.066,7,0.589,10
41.6,7.066,7,0.589,10
41.7,7.066,7,0.589,10
41.8,7.066,7,0.589,10
41.9,7.066,7,0.589,10
42,7.066,7,0.589,10
42.1,7.066,7,0.589,10
42.2,7.076,7,0.589,10
42.3,7.076,7,0.589,10
42.4,7.066,7,0.589,10
42.5,7.066,7,0.589,10
42.6,7.076,7,0.589,10
42.7,7.076,7,0.589,10
42.8,7.076,7,0.589,10
42.9,7.066,7,0.589,10
43,7.076,7,0.589,10
43.1,7.066,7,0.589,10
43.2,7.076,7,0.589,10
43.3,7.076,7,0.589,10
43.4,7.076,7,0.589,10
43.5,7.066,7,0.589,10
43.6,7.066,7,0.589,10
43.7,7.076,7,0.589,10
43.8,7.066,7,0.589,10
43.9,7.066,7,0.589,10
44,7.066,7,0.589,10
44.1,7.066,7,0.589,10
44.2,7.076,7,0.589,10
44.3,7.066,7,0.589,10
44.4,7.076,7,0.589,10
44.5,7.066,7,0.589,10
44.6,7.066,7,0.589,10
44.7,7.056,7,0.589,10
44.8,7.066,7,0.589,10
44.9,7.066,7,0.589,10
45,7.066,7,0.589,10
45.1,7.076,7,0.589,10
45.2,7.066,7,0.589,10
45.3,7.066,7,0.589,10
45.4,7.076,7,0.579,10
45.5,7.066,7,0.589,10
45.6,7.076,7,0.589,10
45.7,7.076,7,0.589,10
45.8,7.066,7,0.589,10
45.9,7.066,7,0.589,10
46,7.066,7,0.589,10
46.1,7.076,7,0.589,10
46.2,7.066,7,0.589,10
46.3,7.076,7,0.589,10
46.4,7.066,7,0.589,10
46.5,7.066,7,0.589,10
46.6,7.066,7,0.589,10
46.7,7.066,7,0.589,10
46.8,7.066,7,0.589,10
46.9,7.066,7,0.589,10
47,7.076,7,0.589,10
47.1,7.076,7,0.589,10
47.2,7.076,7,0.589,10
47.3,7.066,7,0.589,10
47.4,7.076,7,0.589,10
47.5,7.066,7,0.589,10
47.6,7.066,7,0.589,10
47.7,7.066,7,0.589,10
47.8,7.066,7,0.589,10
47.9,7.066,7,0.589,10
48,7.076,7,0.589,10
48.1,7.066,7,0.589,10
48.2,7.066,7,0.589,10
48.3,7.066,7,0.589,10
48.4,7.066,7,0.589,10
48.5,7.066,7,0.589,10
48.6,7.076,7,0.589,10
48.7,7.076,7,0.589,10
48.8,7.066,7,0.589,10
48.9,7.076,7,0.589,10
49,7.066,7,0.589,10
49.1,7.066,7,0.589,10
49.2,7.066,7,0.589,10
49.3,7.066,7,0.589,10
49.4,7.066,7,0.589,10
49.5,7.076,7,0.589,10
49.6,7.066,7,0.589,10
49.7,7.076,7,0.589,10
49.8,7.066,7,0.589,10
49.9,7.066,7,0.589,10
50,7.066,7,0.589,10
50.1,7.066,7,0.589,10
50.2,7.066,7,0.589,10
50.3,7.076,7,0.589,10
50.4,7.066,7,0.589,10
50.5,7.066,7,0.589,10
50.6,7.076,7,0.589,10
50.7,7.066,7,0.589,10
50.8,7.066,7,0.589,10
50.9,7.066,7,0.589,10
51,7.066,7,0.589,10
51.1,7.066,7,0.589,10
51.2,7.066,7,0.589,10
51.3,7.066,7,0.589,10
51.4,7.066,7,0.589,10
51.5,7.066,7,0.589,10
51.6,7.076,7,0.589,10
51.7,7.076,7,0.589,10
51.8,7.066,7,0.589,10
51.9,7.066,7,0.589,10
52,7.076,7,0.589,10
52.1,7.066,7,0.589,10
52.2,7.066,7,0.589,10
52.3,7.066,7,0.579,10
52.4,7.076,7,0.589,10
52.5,7.066,7,0.589,10
52.6,7.066,7,0.589,10
52.7,7.066,7,0.589,10
52.8,7.066,7,0.589,10
52.9,7.076,7,0.589,10
53,7.066,7,0.589,10
53.1,7.066,7,0.589,10
53.2,7.066,7,0.589,10
53.3,7.076,7,0.589,10
53.4,7.066,7,0.589,10
53.5,7.066,7,0.589,10
53.6,7.066,7,0.589,10
53.7,7.076,7,0.589,10
53.8,7.066,7,0.589,10
53.9,7.066,7,0.589,10
54,7.076,7,0.589,10
54.1,7.066,7,0.589,10
54.2,7.076,7,0.589,10
54.3,7.076,7,0.589,10
54.4,7.066,7,0.589,10
54.5,7.066,7,0.579,10
54.6,7.066,7,0.589,10
54.7,7.076,7,0.589,10
54.8,7.076,7,0.589,10
54.9,7.066,7,0.589,10
55,7.076,7,0.589,10
55.1,7.066,7,0.589,10
55.2,7.066,7,0.589,10
55.3,7.066,7,0.589,10
55.4,7.066,7,0.589,10
55.5,7.066,7,0.589,10
55.6,7.076,7,0.589,10
55.7,7.066,7,0.589,10
55.8,7.066,7,0.589,10
55.9,7.066,7,0.589,10
56,7.066,7,0.589,10
56.1,7.066,7,0.589,10
56.2,7.066,7,0.589,10
56.3,7.066,7,0.589,10
56.4,7.066,7,0.589,10
56.5,7.066,7,0.589,10
56.6,7.066,7,0.589,10
56.7,7.066,7,0.589,10
56.8,7.076,7,0.589,10
56.9,7.076,7,0.589,10
57,7.066,7,0.589,10
57.1,7.076,7,0.589,10
57.2,7.066,7,0.589,10
57.3,7.076,7,0.589,10
57.4,7.066,7,0.589,10
57.5,7.066,7,0.589,10
57.6,7.066,7,0.589,10
57.7,7.076,7,0.589,10
57.8,7.076,7,0.589,10
57.9,7.076,7,0.589,10
58,7.066,7,0.589,10
58.1,7.066,7,0.589,10
58.2,7.076,7,0.589,10
58.3,7.076,7,0.589,10
58.4,7.066,7,0.589,10
58.5,7.076,7,0.589,10
58.6,7.076,7,0.589,10
58.7,7.066,7,0.589,10
