DATA LOGGER INTERVAL @ 100ms
TIME(s),RGH Level,RGH Valve,SCV Level,SCV Valve
18.10,2.905,8.000,4.407,10.000
18.20,2.944,8.000,4.397,10.000
18.30,2.974,8.000,4.387,10.000
18.40,2.944,8.000,4.377,10.000
18.50,2.944,8.000,4.367,10.000
18.60,3.042,8.000,4.357,10.000
18.70,3.111,8.000,4.348,10.000
18.80,3.248,8.000,4.328,10.000
18.90,3.307,8.000,4.318,10.000
19.00,3.386,8.000,4.308,10.000
19.10,3.425,8.000,4.299,10.000
19.20,3.504,8.000,4.289,10.000
19.30,3.582,8.000,4.279,10.000
19.40,3.690,8.000,4.269,10.000
19.50,3.720,8.000,4.259,10.000
19.60,3.788,8.000,4.240,10.000
19.70,3.837,8.000,4.240,10.000
19.80,3.896,8.000,4.230,10.000
19.90,3.935,8.000,4.210,10.000
20.00,3.945,8.000,4.200,10.000
20.10,4.014,8.000,4.191,10.000
20.20,4.112,8.000,4.191,10.000
20.30,4.230,8.000,4.171,10.000
20.40,4.279,8.000,4.161,10.000
20.50,4.318,8.000,4.151,10.000
20.60,4.407,8.000,4.142,10.000
20.70,4.357,8.000,4.132,10.000
20.80,4.387,8.000,4.112,10.000
20.90,4.377,8.000,4.112,10.000
21.00,4.308,8.000,4.102,10.000
21.10,4.269,8.000,4.083,10.000
21.20,4.220,8.000,4.073,10.000
21.30,4.249,8.000,4.063,10.000
21.40,4.328,8.000,4.053,10.000
21.50,4.407,8.000,4.043,10.000
21.60,4.495,8.000,4.034,10.000
21.70,4.554,8.000,4.024,10.000
21.80,4.593,8.000,4.004,10.000
21.90,4.613,8.000,4.004,10.000
22.00,4.642,8.000,3.994,10.000
22.10,4.671,8.000,3.975,10.000
22.20,4.642,8.000,3.965,10.000
22.30,4.652,8.000,3.955,10.000
22.40,4.632,8.000,3.955,10.000
22.50,4.632,8.000,3.935,10.000
22.60,4.642,8.000,3.935,10.000
22.70,4.740,8.000,3.916,10.000
22.80,4.917,8.000,3.916,10.000
22.90,5.054,8.000,3.896,10.000
23.00,5.143,8.000,3.886,10.000
23.10,5.221,8.000,3.886,10.000
23.20,5.300,8.000,3.867,10.000
23.30,5.309,8.000,3.867,10.000
23.40,5.300,8.000,3.847,10.000
23.50,5.300,8.000,3.837,10.000
23.60,5.280,8.000,3.827,10.000
23.70,5.290,8.000,3.818,10.000
23.80,5.300,8.000,3.808,10.000
23.90,5.319,8.000,3.808,10.000
24.00,5.339,8.000,3.798,10.000
24.10,5.417,8.000,3.778,10.000
24.20,5.486,8.000,3.769,10.000
24.30,5.516,8.000,3.759,10.000
24.40,5.555,8.000,3.749,10.000
24.50,5.574,8.000,3.739,10.000
24.60,5.584,8.000,3.729,10.000
24.70,5.604,8.000,3.720,10.000
24.80,5.584,8.000,3.710,10.000
24.90,5.614,8.000,3.700,10.000
25.00,5.614,8.000,3.690,10.000
25.10,5.663,8.000,3.680,10.000
25.20,5.692,8.000,3.670,10.000
25.30,5.741,8.000,3.661,10.000
25.40,5.800,8.000,3.651,10.000
25.50,5.869,8.000,3.651,10.000
25.60,5.928,8.000,3.631,10.000
25.70,5.977,8.000,3.612,10.000
25.80,6.026,8.000,3.612,10.000
25.90,6.055,8.000,3.602,10.000
26.00,6.085,8.000,3.592,10.000
26.10,6.114,8.000,3.582,10.000
26.20,6.085,8.000,3.572,10.000
26.30,6.085,8.000,3.563,10.000
26.40,6.065,8.000,3.553,10.000
26.50,6.075,8.000,3.553,10.000
26.60,6.114,1.600,3.533,10.000
26.70,6.183,1.600,3.523,10.000
26.80,6.252,1.600,3.523,10.000
26.90,6.301,1.600,3.513,10.000
27.00,6.360,1.600,3.494,10.000
27.10,6.418,1.600,3.494,10.000
27.20,6.458,1.600,3.494,10.000
27.30,6.467,1.600,3.474,10.000
27.40,6.467,1.600,3.455,10.000
27.50,6.428,1.600,3.455,10.000
27.60,6.428,1.600,3.445,10.000
27.70,6.399,1.600,3.435,10.000
27.80,6.389,1.600,3.425,10.000
27.90,6.389,1.600,3.415,10.000
28.00,6.399,1.600,3.405,10.000
28.10,6.409,1.600,3.396,10.000
28.20,6.428,1.600,3.386,10.000
28.30,6.458,1.600,3.376,10.000
28.40,6.467,1.600,3.366,10.000
28.50,6.467,1.600,3.366,10.000
28.60,6.458,1.600,3.356,10.000
28.70,6.458,1.600,3.347,10.000
28.80,6.458,1.600,3.347,10.000
28.90,6.448,1.600,3.337,10.000
29.00,6.418,1.600,3.337,10.000
29.10,6.409,1.600,3.337,10.000
29.20,6.409,1.600,3.337,10.000
29.30,6.409,1.600,3.347,10.000
29.40,6.409,1.600,3.337,10.000
29.50,6.399,1.600,3.317,10.000
29.60,6.409,1.600,3.317,10.000
29.70,6.428,1.600,3.307,10.000
29.80,6.438,1.600,3.298,10.000
29.90,6.448,1.600,3.288,10.000
30.00,6.467,1.600,3.268,10.000
30.10,6.477,1.600,3.268,10.000
30.20,6.497,1.600,3.258,10.000
30.30,6.477,1.600,3.258,10.000
30.40,6.467,1.600,3.258,10.000
30.50,6.467,1.600,3.258,10.000
30.60,6.458,1.600,3.248,10.000
30.70,6.448,1.600,3.248,10.000
30.80,6.448,1.600,3.248,10.000
30.90,6.448,1.600,3.239,10.000
31.00,6.458,1.600,3.229,10.000
31.10,6.467,1.600,3.219,10.000
31.20,6.467,1.600,3.209,10.000
31.30,6.467,1.600,3.209,10.000
31.40,6.477,1.600,3.199,10.000
31.50,6.477,1.600,3.199,10.000
31.60,6.477,1.600,3.190,10.000
31.70,6.467,1.600,3.180,10.000
31.80,6.458,1.600,3.180,10.000
31.90,6.458,1.600,3.170,10.000
32.00,6.458,1.600,3.160,10.000
32.10,6.458,1.600,3.160,10.000
32.20,6.458,1.600,3.160,10.000
32.30,6.467,1.600,3.141,10.000
32.40,6.467,1.600,3.131,10.000
32.50,6.467,1.600,3.141,10.000
32.60,6.477,1.600,3.131,10.000
32.70,6.477,1.600,3.111,10.000
32.80,6.487,1.600,3.111,10.000
32.90,6.477,1.600,3.101,10.000
33.00,6.477,1.600,3.101,10.000
33.10,6.477,1.600,3.101,10.000
33.20,6.477,1.600,3.101,10.000
33.30,6.477,1.600,3.091,10.000
33.40,6.487,1.600,3.091,10.000
33.50,6.487,1.600,3.091,10.000
33.60,6.477,1.600,3.082,10.000
33.70,6.487,1.600,3.072,10.000
33.80,6.487,1.600,3.062,10.000
33.90,6.487,1.600,3.052,10.000
34.00,6.487,1.600,3.042,10.000
34.10,6.477,1.600,3.042,10.000
34.20,6.467,1.600,3.042,10.000
34.30,6.467,1.600,3.033,10.000
34.40,6.458,1.600,3.042,10.000
34.50,6.467,1.600,3.042,10.000
34.60,6.467,1.600,3.033,10.000
34.70,6.477,1.600,3.023,10.000
34.80,6.477,1.600,3.023,10.000
34.90,6.487,1.600,3.003,10.000
35.00,6.487,1.600,3.003,10.000
35.10,6.497,1.600,2.983,10.000
35.20,6.487,1.600,2.993,10.000
35.30,6.487,1.600,2.983,10.000
35.40,6.497,1.600,2.993,10.000
35.50,6.497,1.600,2.983,10.000
35.60,6.487,1.600,2.983,10.000
35.70,6.477,1.600,2.974,10.000
35.80,6.507,1.600,2.964,10.000
35.90,6.507,1.600,2.944,10.000
36.00,6.507,1.600,2.944,10.000
36.10,6.517,1.600,2.944,10.000
36.20,6.536,1.600,2.944,10.000
36.30,6.536,1.600,2.944,10.000
36.40,6.536,1.600,2.944,10.000
36.50,6.526,1.600,2.944,10.000
36.60,6.526,1.600,2.925,10.000
36.70,6.536,1.600,2.915,10.000
36.80,6.526,1.600,2.905,10.000
36.90,6.526,1.600,2.895,10.000
37.00,6.526,1.600,2.895,10.000
37.10,6.546,1.600,2.895,10.000
37.20,6.546,1.600,2.905,10.000
37.30,6.566,1.600,2.905,10.000
37.40,6.566,1.600,2.905,10.000
37.50,6.585,1.600,2.895,10.000
37.60,6.595,1.600,2.876,10.000
37.70,6.605,1.600,2.876,10.000
37.80,6.624,1.600,2.866,10.000
37.90,6.634,1.600,2.856,10.000
38.00,6.634,1.600,2.856,10.000
38.10,6.634,1.600,2.856,10.000
38.20,6.634,1.600,2.866,10.000
38.30,6.624,1.600,2.856,10.000
38.40,6.634,1.600,2.846,10.000
38.50,6.634,1.600,2.836,10.000
38.60,6.634,1.600,2.826,10.000
38.70,6.664,1.600,2.826,10.000
38.80,6.664,1.600,2.826,10.000
38.90,6.674,1.600,2.817,10.000
39.00,6.713,1.600,2.826,10.000
39.10,6.713,1.600,2.817,10.000
39.20,6.723,1.600,2.817,10.000
39.30,6.723,1.600,2.807,10.000
39.40,6.723,1.600,2.797,10.000
39.50,6.742,1.600,2.797,10.000
39.60,6.772,1.600,2.797,10.000
39.70,6.782,1.600,2.797,10.000
39.80,6.801,1.600,2.787,10.000
39.90,6.831,1.600,2.787,10.000
40.00,6.831,1.600,2.777,10.000
40.10,6.840,1.600,2.787,10.000
40.20,6.850,1.600,2.777,10.000
40.30,6.840,1.600,2.777,10.000
40.40,6.860,1.600,2.777,10.000
40.50,6.860,1.600,2.768,10.000
40.60,6.880,1.600,2.758,10.000
40.70,6.899,1.600,2.748,10.000
40.80,6.899,1.600,2.738,10.000
40.90,6.919,1.600,2.738,10.000
41.00,6.939,1.600,2.748,10.000
41.10,6.939,1.600,2.748,10.000
41.20,6.958,1.600,2.738,10.000
41.30,6.968,1.600,2.728,10.000
41.40,6.978,1.600,2.728,10.000
41.50,7.017,1.600,2.728,10.000
41.60,7.037,1.600,2.718,10.000
41.70,7.056,1.600,2.709,10.000
41.80,7.115,1.600,2.709,10.000
41.90,7.115,1.600,2.699,10.000
42.00,7.125,1.600,2.699,10.000
42.10,7.164,1.600,2.699,10.000
42.20,7.213,1.600,2.699,10.000
42.30,7.204,1.600,2.699,10.000
42.40,7.243,1.600,2.689,10.000
42.50,7.233,1.600,2.689,10.000
42.60,7.233,1.600,2.679,10.000
42.70,7.243,1.600,2.669,10.000
42.80,7.243,1.600,2.669,10.000
42.90,7.233,1.600,2.669,10.000
43.00,7.243,1.600,2.669,10.000
43.10,7.233,1.600,2.669,10.000
43.20,7.243,1.600,2.669,10.000
43.30,7.262,1.600,2.660,10.000
43.40,7.204,1.600,2.650,10.000
43.50,7.262,1.600,2.640,10.000
43.60,7.253,1.600,2.650,10.000
43.70,7.253,1.600,2.650,10.000
43.80,7.253,1.600,2.640,10.000
43.90,7.243,1.600,2.630,10.000
44.00,7.233,1.600,2.620,10.000
44.10,7.223,1.600,2.630,10.000
44.20,7.213,1.600,2.640,10.000
44.30,7.223,1.600,2.630,10.000
44.40,7.213,1.600,2.620,10.000
44.50,7.213,1.600,2.611,10.000
44.60,7.213,1.600,2.611,10.000
44.70,7.213,1.600,2.601,10.000
44.80,7.213,1.600,2.601,10.000
44.90,7.204,1.600,2.620,10.000
45.00,7.204,1.600,2.611,10.000
45.10,7.213,1.600,2.611,10.000
45.20,7.213,1.600,2.601,10.000
45.30,7.213,1.600,2.591,10.000
45.40,7.204,1.600,2.581,10.000
45.50,7.213,1.600,2.581,10.000
45.60,7.213,1.600,2.591,10.000
45.70,7.213,1.600,2.591,10.000
45.80,7.204,1.600,2.591,10.000
45.90,7.213,1.600,2.591,10.000
46.00,7.204,1.600,2.581,10.000
46.10,7.184,1.600,2.581,10.000
46.20,7.164,1.600,2.571,10.000
46.30,7.204,1.600,2.561,10.000
46.40,7.204,1.600,2.561,10.000
46.50,7.204,1.600,2.552,10.000
46.60,7.204,1.600,2.552,10.000
46.70,7.204,1.600,2.552,10.000
46.80,7.213,1.600,2.552,10.000
46.90,7.213,1.600,2.552,10.000
47.00,7.204,1.600,2.552,10.000
47.10,7.194,1.600,2.552,10.000
47.20,7.184,1.600,2.552,10.000
47.30,7.194,1.600,2.532,10.000
47.40,7.194,1.600,2.522,10.000
47.50,7.194,1.600,2.512,10.000
47.60,7.184,1.600,2.532,10.000
47.70,7.184,1.600,2.532,10.000
47.80,7.174,1.600,2.522,10.000
47.90,7.194,1.600,2.512,10.000
48.00,7.194,1.600,2.512,10.000
48.10,7.194,1.600,2.503,10.000
48.20,7.184,1.600,2.503,10.000
48.30,7.174,1.600,2.503,10.000
48.40,7.233,1.600,2.512,10.000
48.50,7.184,1.600,2.512,10.000
48.60,7.184,1.600,2.512,10.000
48.70,7.184,1.600,2.493,10.000
48.80,7.174,1.600,2.493,10.000
48.90,7.184,1.600,2.483,10.000
49.00,7.174,1.600,2.483,10.000
49.10,7.174,1.600,2.483,10.000
49.20,7.174,1.600,2.483,10.000
49.30,7.174,1.600,2.473,10.000
49.40,7.174,1.600,2.463,10.000
49.50,7.174,1.600,2.473,10.000
49.60,7.174,1.600,2.463,10.000
49.70,7.174,1.600,2.463,10.000
49.80,7.174,1.600,2.463,10.000
49.90,7.164,1.600,2.454,10.000
50.00,7.164,1.600,2.444,10.000
50.10,7.154,1.600,2.444,10.000
50.20,7.164,1.600,2.434,10.000
50.30,7.174,1.600,2.444,10.000
50.40,7.174,1.600,2.444,10.000
50.50,7.164,1.600,2.444,10.000
50.60,7.154,1.600,2.434,10.000
50.70,7.154,1.600,2.424,10.000
50.80,7.164,1.600,2.414,10.000
50.90,7.154,1.600,2.414,10.000
51.00,7.154,1.600,2.424,10.000
51.10,7.164,1.600,2.434,10.000
51.20,7.164,1.600,2.424,10.000
51.30,7.154,1.600,2.414,10.000
51.40,7.174,1.600,2.414,10.000
51.50,7.174,1.600,2.395,10.000
51.60,7.174,1.600,2.385,10.000
51.70,7.164,1.600,2.404,10.000
51.80,7.184,1.600,2.404,10.000
51.90,7.154,1.600,2.414,10.000
52.00,7.154,1.600,2.414,10.000
52.10,7.164,1.600,2.395,10.000
52.20,7.154,1.600,2.395,10.000
52.30,7.174,1.600,2.385,10.000
52.40,7.164,1.600,2.375,10.000
52.50,7.164,1.600,2.375,10.000
52.60,7.174,1.600,2.385,10.000
52.70,7.204,1.600,2.385,10.000
52.80,7.174,1.600,2.385,10.000
52.90,7.213,1.600,2.375,10.000
53.00,7.184,1.600,2.375,10.000
53.10,7.164,1.600,2.355,10.000
53.20,7.164,1.600,2.355,10.000
53.30,7.164,1.600,2.355,10.000
53.40,7.174,1.600,2.355,10.000
53.50,7.164,1.600,2.355,10.000
53.60,7.164,1.600,2.355,10.000
53.70,7.164,1.600,2.355,10.000
53.80,7.174,1.600,2.346,10.000
53.90,7.164,1.600,2.336,10.000
54.00,7.164,1.600,2.326,10.000
54.10,7.145,1.600,2.326,10.000
54.20,7.154,1.600,2.316,10.000
54.30,7.154,1.600,2.316,10.000
54.40,7.145,1.600,2.316,10.000
54.50,7.135,1.600,2.316,10.000
54.60,7.135,1.600,2.326,10.000
54.70,7.135,1.600,2.316,10.000
54.80,7.135,1.600,2.306,10.000
54.90,7.135,1.600,2.296,10.000
55.00,7.115,1.600,2.296,10.000
55.10,7.105,1.600,2.296,10.000
55.20,7.096,1.600,2.296,10.000
55.30,7.115,1.600,2.306,10.000
55.40,7.125,1.600,2.306,10.000
55.50,7.096,1.600,2.306,10.000
55.60,7.105,1.600,2.287,10.000
55.70,7.096,1.600,2.277,10.000
55.80,7.086,1.600,2.267,10.000
55.90,7.096,1.600,2.267,10.000
56.00,7.076,1.600,2.267,10.000
56.10,7.066,1.600,2.277,10.000
56.20,7.086,1.600,2.277,10.000
56.30,7.096,1.600,2.277,10.000
56.40,7.066,1.600,2.277,10.000
56.50,7.066,1.600,2.257,10.000
56.60,7.056,1.600,2.247,10.000
56.70,7.066,1.600,2.238,10.000
56.80,7.066,1.600,2.247,10.000
56.90,7.056,1.600,2.257,10.000
